question,reference,generated,rouge1,rouge2,rougeL
What is (are) Mouth Disorders ?,"Your mouth is one of the most important parts of your body. Any problem that affects your mouth can make it hard to eat, drink or even smile. Some common mouth problems include - Cold sores - painful sores on the lips and around the mouth, caused by a virus - Canker sores - painful sores in the mouth, caused by bacteria or viruses - Thrush - a yeast infection that causes white patches in your mouth - Leukoplakia - white patches of excess cell growth on the cheeks, gums or tongue, common in smokers - Dry mouth - a lack of enough saliva, caused by some medicines and certain diseases - Gum or tooth problems - Bad breath Treatment for mouth disorders varies, depending on the problem. Keeping a clean mouth by brushing and flossing often is important.","Mouth disorders can cause a wide range of symptoms. Some disorders may cause mild discomfort. Others can cause severe pain, disfigurement, or other serious health problems. Mouth disorders can also affect the way you eat, speak, and socialize. Common mouth disorders include: - Bad breath - Gum disease - Canker sores - Oral cancer - Mouth infections - Mouth injuries - Tooth loss - Dental caries - Temporomandibular joint disorder - Xerostomia. The first step in preventing mouth disorders is to practice good oral hygiene. Brush your teeth and clean between your teeth every day. Floss daily. Use mouthwash as recommended by your dent",0.38914027149321273,0.0365296803652968,0.1900452488687783
What is (are) Childhood Acute Lymphoblastic Leukemia ?,"Key Points - Childhood acute lymphoblastic leukemia (ALL) is a type of cancer in which the bone marrow makes too many immature lymphocytes (a type of white blood cell). - Leukemia may affect red blood cells, white blood cells, and platelets. - Past treatment for cancer and certain genetic conditions affect the risk of having childhood ALL. - Signs of childhood ALL include fever and bruising. - Tests that examine the blood and bone marrow are used to detect (find) and diagnose childhood ALL. - Certain factors affect prognosis (chance of recovery) and treatment options. Childhood acute lymphoblastic leukemia (ALL) is a type of cancer in which the bone marrow makes too many immature lymphocytes (a type of white blood cell). Childhood acute lymphoblastic leukemia (also called ALL or acute lymphocytic leukemia) is a cancer of the blood and bone marrow. This type of cancer usually gets worse quickly if it is not treated. ALL is the most common type of cancer in children. Leukemia may affect red blood cells, white blood cells, and platelets. In a healthy child, the bone marrow makes blood stem cells (immature cells) that become mature blood cells over time. A blood stem cell may become a myeloid stem cell or a lymphoid stem cell. A myeloid stem cell becomes one of three types of mature blood cells: - Red blood cells that carry oxygen and other substances to all tissues of the body. - Platelets that form blood clots to stop bleeding. - White blood cells that fight infection and disease. A lymphoid stem cell becomes a lymphoblast cell and then one of three types of lymphocytes (white blood cells): - B lymphocytes that make antibodies to help fight infection. - T lymphocytes that help B lymphocytes make the antibodies that help fight infection. - Natural killer cells that attack cancer cells and viruses. In a child with ALL, too many stem cells become lymphoblasts, B lymphocytes, or T lymphocytes. The cells do not work like normal lymphocytes and are not able to fight infection very well. These cells are cancer (leukemia) cells. Also, as the number of leukemia cells increases in the blood and bone marrow, there is less room for healthy white blood cells, red blood cells, and platelets. This may lead to infection, anemia, and easy bleeding. This summary is about acute lymphoblastic leukemia in children, adolescents, and young adults. See the following PDQ summaries for information about other types of leukemia: - Childhood Acute Myeloid Leukemia/Other Myeloid Malignancies Treatment - Adult Acute Lymphoblastic Leukemia Treatment - Chronic Lymphocytic Leukemia Treatment - Adult Acute Myeloid Leukemia Treatment - Chronic Myelogenous Leukemia Treatment - Hairy Cell Leukemia Treatment.","Acute lymphoblastic leukemia (ALL) is a cancer of the immune system. The immune system is made up of cells that fight infection and disease. In ALL, the bone marrow makes immature lymphocytes (a type of white blood cell), which get stuck in the bone marrow. The bone marrow can't make enough other blood cells, such as red blood cells and platelets. The lack of red blood cells can cause anemia (low red blood cell count), which can make a person feel tired and short of breath. The lack of platelets can cause bleeding and bruising. ALL can also cause the lymph nodes to become swollen. ALL can",0.2905027932960894,0.14205607476635512,0.19366852886405958
Is atelosteogenesis type 3 inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. Most cases result from new mutations in the gene and occur in people with no history of the disorder in their family.","ATG3 is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. Autosomal recessive conditions can be caused by a mutation in one copy of the gene (heterozygous), or in both copies (homozygous). The parents of an individual with an autosomal recessive condition each carry one copy of the gene with a mutation; these parents are referred to as carriers. Carriers of an aut",0.3866666666666666,0.20270270270270271,0.31999999999999995
What is (are) Pontocerebellar hypoplasia type 2 ?,"Pontocerebellar hypoplasia type 2 (PCH2) is a rare condition that affects the development of the brain. Signs and symptoms vary but may include microcephaly, developmental delay with lack of voluntary motor development, intellectual disability and movement disorders (i.e. chorea, dystonia, and spasticity). Affected people may also experience dysphagia (difficulty swallowing), impaired vision, seizures and an inability to communicate. Children with this condition often pass away prior to age 10 years, although survival beyond age 20 years has been reported. PCH2 is caused by changes (mutations) in the TSEN54, TSEN2, TSEN34, or SEPSECS gene and is inherited in an autosomal recessive manner. Treatment is supportive and based on the signs and symptoms present in each person.","Pontocerebellar hypoplasia type 2 is a disorder of the central nervous system characterized by the underdevelopment of certain parts of the brain, including the pons and cerebellum. The pons is a part of the brainstem that controls many functions, including breathing, heart rate, and blood pressure. The cerebellum is located in the back of the brain and is responsible for coordinating movements. Pontocerebellar hypoplasia type 2 is caused by mutations in the RARS2 gene and is inherited in an autosomal recessive pattern. The severity of the condition varies from one affected individual to another, but most people with this disorder do not",0.3944954128440367,0.16666666666666666,0.27522935779816515
What is (are) Amish lethal microcephaly ?,"Amish lethal microcephaly is a disorder in which infants are born with a very small head and underdeveloped brain. Infants with Amish lethal microcephaly have a sloping forehead and an extremely small head size. They may also have an unusually small lower jaw and chin (micrognathia) and an enlarged liver (hepatomegaly). Affected infants may have seizures and difficulty maintaining their body temperature. Often they become very irritable starting in the second or third month of life. A compound called alpha-ketoglutaric acid can be detected in their urine (alpha-ketoglutaric aciduria), and during episodes of viral illness they tend to develop elevated levels of acid in the blood and tissues (metabolic acidosis). Infants with this disorder typically feed adequately but do not develop skills such as purposeful movement or the ability to track faces and sounds. Affected infants live only about six months.","Amish lethal microcephaly is a rare inherited disorder characterized by severe underdevelopment of the brain (microcephaly), a small jaw (micrognathia), and distinctive facial features. These findings are associated with the inability to make and use a specific type of protein (enzyme) called SAMS (S-adenosylmethionine synthase). SAMS enzyme is involved in the process by which cells make another protein called methionine synthase. This protein plays a role in making other proteins. Methionine synthase is also involved in the synthesis of a chemical called methionine, which is a nutrient that plays a",0.28205128205128205,0.0603448275862069,0.1794871794871795
What are the genetic changes related to geleophysic dysplasia ?,"Geleophysic dysplasia results from mutations in the ADAMTSL2 gene. This gene provides instructions for making a protein whose function is unclear. The protein is found in the extracellular matrix, which is the intricate lattice of proteins and other molecules that forms in the spaces between cells. Studies suggest that the ADAMTSL2 protein may play a role in the microfibrillar network, which is an organized clustering of thread-like filaments (called microfibrils) in the extracellular matrix. This network provides strength and flexibility to tissues throughout the body. Mutations in the ADAMTSL2 protein likely change the protein's 3-dimensional structure. Through a process that is poorly understood, ADAMTSL2 gene mutations alter the microfibrillar network in many different tissues. Impairment of this essential network disrupts the normal functions of cells, which likely contributes to the varied signs and symptoms of geleophysic dysplasia. Researchers are working to determine how mutations in the ADAMTSL2 gene lead to short stature, heart disease, and the other features of this condition.","Mutations in the PTH1R gene cause geleophysic dysplasia. The PTH1R gene provides instructions for making a protein called parathyroid hormone receptor (PTH1R), which is found on the surface of many cells. The PTH1R protein plays a critical role in regulating the balance of calcium in the body. It does this by responding to the presence of parathyroid hormone (PTH), a hormone produced by the parathyroid glands. When PTH binds to its receptor, it triggers a series of chemical reactions in the cell that ultimately increase the amount of calcium in the bloodstream. Calcium is important for",0.3846153846153847,0.13953488372093023,0.2923076923076923
What are the symptoms of Vasculitis ?,"The signs and symptoms of vasculitis vary. They depend on the type of vasculitis you have, the organs involved, and the severity of the condition. Some people may have few signs and symptoms. Other people may become very sick. Sometimes the signs and symptoms develop slowly, over months. Other times, the signs and symptoms develop quickly, over days or weeks. Systemic Signs and Symptoms Systemic signs and symptoms are those that affect you in a general or overall way. Common systemic signs and symptoms of vasculitis are: Fever Loss of appetite Weight loss Fatigue (tiredness) General aches and pains Organ- or Body System-Specific Signs and Symptoms Vasculitis can affect specific organs and body systems, causing a range of signs and symptoms. Skin If vasculitis affects your skin, you may notice skin changes. For example, you may have purple or red spots or bumps, clusters of small dots, splotches, bruises, or hives. Your skin also may itch. Joints If vasculitis affects your joints, you may ache or develop arthritis in one or more joints. Lungs If vasculitis affects your lungs, you may feel short of breath. You may even cough up blood. The results from a chest x ray may show signs that suggest pneumonia, even though that may not be what you have. Gastrointestinal Tract If vasculitis affects your gastrointestinal tract, you may get ulcers (sores) in your mouth or have stomach pain. In severe cases, blood flow to the intestines can be blocked. This can cause the wall of the intestines to weaken and possibly rupture (burst). A rupture can lead to serious problems or even death. Sinuses, Nose, Throat, and Ears If vasculitis affects your sinuses, nose, throat, and ears, you may have sinus or chronic (ongoing) middle ear infections. Other symptoms include ulcers in the nose and, in some cases, hearing loss. Eyes If vasculitis affects your eyes, you may develop red, itchy, burning eyes. Your eyes also may become sensitive to light, and your vision may blur. Rarely, certain types of vasculitis may cause blindness. Brain If vasculitis affects your brain, symptoms may include headaches, problems thinking clearly, changes in mental function, or stroke-like symptoms, such as muscle weakness and paralysis (an inability to move). Nerves If vasculitis affects your nerves, you may have numbness, tingling, and weakness in various parts of your body. You also may have a loss of feeling or strength in your hands and feet and shooting pains in your arms and legs.","What are the signs and symptoms of vasculitis? The signs and symptoms of vasculitis vary depending on the type of vasculitis and the organs involved. The most common signs and symptoms include: - Fever and fatigue - Joint pain and swelling - Skin rashes or purpura (purple patches on the skin) - Kidney problems - Nerve damage - Blood clots - Heart problems - Gastrointestinal problems - Vision problems Vasculitis can affect people of all ages, although it occurs most frequently in older adults. It is also more common in women than in men. The cause of vasculitis is unknown, but it can be triggered by several things, including infections,",0.2607003891050584,0.10156250000000001,0.15175097276264593
What are the treatments for 3-methylglutaconyl-CoA hydratase deficiency ?,These resources address the diagnosis or management of 3-methylglutaconyl-CoA hydratase deficiency: - Baby's First Test - Genetic Testing Registry: 3-Methylglutaconic aciduria - MedlinePlus Encyclopedia: Metabolic Acidosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care.,These resources address treatment options for 3-methylglutaconyl-CoA hydratase deficiency: - Genetics Home Reference: 3-methylglutaconyl-CoA hydratase deficiency - MedlinePlus: 3-methylglutaconyl-CoA hydratase deficiency - Orphanet: 3-methylglutaconyl-CoA hydratase deficiency - Rare Diseases Clinical Research Consortium: 3-methylglutaconyl-CoA hydratase deficiency - GeneReviews: 3-methylglutac,0.2268041237113402,0.12631578947368421,0.2268041237113402
What is (are) Glycogen storage disease type 1B ?,"Glycogen storage disease type 1B (GSD1B) is an inherited condition in which the body is unable to break down a complex sugar called glycogen. As a result, glycogen accumulates in cells throughout the body. In GSD1B, specifically, glycogen and fats build up within the liver and kidneys which can cause these organs to be enlarged and not function properly. Signs and symptoms of the condition generally develop at age 3 to 4 months and may include hypoglycemia, seizures, lactic acidosis, hyperuricemia (high levels of a waste product called uric acid in the body), and hyperlipidemia. Affected people may also have short stature; thin arms and legs; a protruding abdomen; neutropenia (which may lead to frequent infections); inflammatory bowel disease and oral health problems. GSD1B is caused by changes (mutations) in the SLC37A4 gene and is inherited in an autosomal recessive manner. Although there is currently no cure for the condition, symptoms can often be managed with a special diet in combination with certain medications.","Glycogen storage disease type 1B is a metabolic disorder characterized by a deficiency of the enzyme glucose-6-phosphatase (G6Pase). G6Pase converts glucose-6-phosphate into glucose. The deficiency of G6Pase causes the buildup of glycogen in the liver and muscle, and results in a failure to release glucose into the bloodstream from these tissues. This condition is called glycogen storage disease type 1B. The resulting lack of glucose in the bloodstream can lead to low blood sugar levels (hypoglycemia), which can cause",0.35627530364372473,0.10612244897959183,0.19433198380566802
What are the symptoms of Platelet storage pool deficiency ?,"What are the signs and symptoms of Platelet storage pool deficiency? The signs and symptoms of platelet storage pool deficiency vary but may include: Frequent nosebleeds Abnormally heavy or prolonged menstruation Easy bruising Recurrent anemia Abnormal bleeding after surgery, dental work or childbirth The Human Phenotype Ontology provides the following list of signs and symptoms for Platelet storage pool deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal bleeding - Acute leukemia - Autosomal dominant inheritance - Decreased mean platelet volume - Myelodysplasia - Prolonged bleeding time - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Platelet storage pool deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Platelet storage pool deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal bleeding 100% Bleeding into joints 100% Bleeding under the skin 100% Bruising 100% Frequent infections 100% Low platelets 1",0.4402173913043478,0.40437158469945356,0.4184782608695653
