question,reference,generated,rouge1,rouge2,rougeL
What is (are) Mouth Disorders ?,"Your mouth is one of the most important parts of your body. Any problem that affects your mouth can make it hard to eat, drink or even smile. Some common mouth problems include - Cold sores - painful sores on the lips and around the mouth, caused by a virus - Canker sores - painful sores in the mouth, caused by bacteria or viruses - Thrush - a yeast infection that causes white patches in your mouth - Leukoplakia - white patches of excess cell growth on the cheeks, gums or tongue, common in smokers - Dry mouth - a lack of enough saliva, caused by some medicines and certain diseases - Gum or tooth problems - Bad breath Treatment for mouth disorders varies, depending on the problem. Keeping a clean mouth by brushing and flossing often is important.","Mouth disorders refer to various conditions that can affect the oral cavity, including the lips, gums, teeth, tongue, and roof or floor of the mouth. These conditions can cause symptoms like pain, inflammation, bleeding, or difficulty speaking, eating, or swallowing. Some common mouth disorders include cavities, gum disease, oral cancer, cold sores, thrush, and tooth sensitivity. It's important to practice good oral hygiene, including brushing and flossing daily, and to see a dentist or healthcare professional if you notice any unusual symptoms or changes in your mouth.",0.4,0.10328638497652581,0.18604651162790697
What is (are) Childhood Acute Lymphoblastic Leukemia ?,"Key Points - Childhood acute lymphoblastic leukemia (ALL) is a type of cancer in which the bone marrow makes too many immature lymphocytes (a type of white blood cell). - Leukemia may affect red blood cells, white blood cells, and platelets. - Past treatment for cancer and certain genetic conditions affect the risk of having childhood ALL. - Signs of childhood ALL include fever and bruising. - Tests that examine the blood and bone marrow are used to detect (find) and diagnose childhood ALL. - Certain factors affect prognosis (chance of recovery) and treatment options. Childhood acute lymphoblastic leukemia (ALL) is a type of cancer in which the bone marrow makes too many immature lymphocytes (a type of white blood cell). Childhood acute lymphoblastic leukemia (also called ALL or acute lymphocytic leukemia) is a cancer of the blood and bone marrow. This type of cancer usually gets worse quickly if it is not treated. ALL is the most common type of cancer in children. Leukemia may affect red blood cells, white blood cells, and platelets. In a healthy child, the bone marrow makes blood stem cells (immature cells) that become mature blood cells over time. A blood stem cell may become a myeloid stem cell or a lymphoid stem cell. A myeloid stem cell becomes one of three types of mature blood cells: - Red blood cells that carry oxygen and other substances to all tissues of the body. - Platelets that form blood clots to stop bleeding. - White blood cells that fight infection and disease. A lymphoid stem cell becomes a lymphoblast cell and then one of three types of lymphocytes (white blood cells): - B lymphocytes that make antibodies to help fight infection. - T lymphocytes that help B lymphocytes make the antibodies that help fight infection. - Natural killer cells that attack cancer cells and viruses. In a child with ALL, too many stem cells become lymphoblasts, B lymphocytes, or T lymphocytes. The cells do not work like normal lymphocytes and are not able to fight infection very well. These cells are cancer (leukemia) cells. Also, as the number of leukemia cells increases in the blood and bone marrow, there is less room for healthy white blood cells, red blood cells, and platelets. This may lead to infection, anemia, and easy bleeding. This summary is about acute lymphoblastic leukemia in children, adolescents, and young adults. See the following PDQ summaries for information about other types of leukemia: - Childhood Acute Myeloid Leukemia/Other Myeloid Malignancies Treatment - Adult Acute Lymphoblastic Leukemia Treatment - Chronic Lymphocytic Leukemia Treatment - Adult Acute Myeloid Leukemia Treatment - Chronic Myelogenous Leukemia Treatment - Hairy Cell Leukemia Treatment.","Childhood Acute Lymphoblastic Leukemia, or ALL for short, is a type of cancer that affects the body's blood and bone marrow. The bone marrow is where new blood cells are made. In ALL, the bone marrow makes too many immature white blood cells called lymphoblasts. These cells do not function properly and crowd out the normal cells in the bone marrow, leading to a decrease in healthy blood cells.

ALL can affect children of all ages, but it is most commonly diagnosed between the ages of 2 and 5. The signs and symptoms of ALL can include fever, frequent infections, easy bruising or bleeding, fatigue, bone",0.3171641791044776,0.12734082397003743,0.18656716417910446
Is atelosteogenesis type 3 inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. Most cases result from new mutations in the gene and occur in people with no history of the disorder in their family.","Atelosteogenesis type 3 is a rare genetic condition that affects the development of bones, particularly in the hands and feet. This condition is inherited in an autosomal recessive pattern, which means that a person must inherit two copies of the mutated gene, one from each parent, to develop the condition. If both parents are carriers of one copy of the mutated gene, they have a 25% chance of having a child with atelosteogenesis type 3. If only one parent is a carrier, their children will not develop the condition but will be carriers themselves. It is important for families with a history of atelosteogenesis type 3 to consider genetic",0.3949044585987262,0.18064516129032254,0.2802547770700637
What is (are) Pontocerebellar hypoplasia type 2 ?,"Pontocerebellar hypoplasia type 2 (PCH2) is a rare condition that affects the development of the brain. Signs and symptoms vary but may include microcephaly, developmental delay with lack of voluntary motor development, intellectual disability and movement disorders (i.e. chorea, dystonia, and spasticity). Affected people may also experience dysphagia (difficulty swallowing), impaired vision, seizures and an inability to communicate. Children with this condition often pass away prior to age 10 years, although survival beyond age 20 years has been reported. PCH2 is caused by changes (mutations) in the TSEN54, TSEN2, TSEN34, or SEPSECS gene and is inherited in an autosomal recessive manner. Treatment is supportive and based on the signs and symptoms present in each person.","Pontocerebellar Hypoplasia, specifically Type 2, is a neurological condition that affects the development of certain parts of the brain. The pontocerebellum is a region of the brain that plays a crucial role in coordinating movements, maintaining balance, and processing sensory information. In Pontocerebellar Hypoplasia Type 2, this region does not develop properly, leading to severe motor impairments and cognitive difficulties.

Symptoms of this condition usually become apparent during infancy or early childhood. Affected individuals may experience:
- Delayed development of motor skills, such as sitting, crawling, and walking
- Poor coordination and balance",0.3671497584541063,0.11707317073170732,0.2318840579710145
What is (are) Amish lethal microcephaly ?,"Amish lethal microcephaly is a disorder in which infants are born with a very small head and underdeveloped brain. Infants with Amish lethal microcephaly have a sloping forehead and an extremely small head size. They may also have an unusually small lower jaw and chin (micrognathia) and an enlarged liver (hepatomegaly). Affected infants may have seizures and difficulty maintaining their body temperature. Often they become very irritable starting in the second or third month of life. A compound called alpha-ketoglutaric acid can be detected in their urine (alpha-ketoglutaric aciduria), and during episodes of viral illness they tend to develop elevated levels of acid in the blood and tissues (metabolic acidosis). Infants with this disorder typically feed adequately but do not develop skills such as purposeful movement or the ability to track faces and sounds. Affected infants live only about six months.","Amish lethal microcephaly is a rare genetic condition that affects the Amish population, particularly those of Pennsylvania Dutch descent. This condition is characterized by a small head size (microcephaly) and severe developmental issues. The babies born with this condition usually do not survive past infancy. The condition is caused by a mutation in a single gene, which affects the development of the brain before birth. Unfortunately, there is no cure or treatment for Amish lethal microcephaly, and affected babies usually pass away within the first year of life due to complications related to their underdeveloped brains. It is important for families with a history of this condition to undergo genetic counseling before having children to",0.3178294573643411,0.109375,0.17054263565891475
What are the genetic changes related to geleophysic dysplasia ?,"Geleophysic dysplasia results from mutations in the ADAMTSL2 gene. This gene provides instructions for making a protein whose function is unclear. The protein is found in the extracellular matrix, which is the intricate lattice of proteins and other molecules that forms in the spaces between cells. Studies suggest that the ADAMTSL2 protein may play a role in the microfibrillar network, which is an organized clustering of thread-like filaments (called microfibrils) in the extracellular matrix. This network provides strength and flexibility to tissues throughout the body. Mutations in the ADAMTSL2 protein likely change the protein's 3-dimensional structure. Through a process that is poorly understood, ADAMTSL2 gene mutations alter the microfibrillar network in many different tissues. Impairment of this essential network disrupts the normal functions of cells, which likely contributes to the varied signs and symptoms of geleophysic dysplasia. Researchers are working to determine how mutations in the ADAMTSL2 gene lead to short stature, heart disease, and the other features of this condition.","Geleophysic dysplasia is a rare genetic condition that affects the development of bones, particularly in the hands and feet. The exact genetic cause of this condition is not fully understood, but researchers have identified several genes that may be involved. One of these genes is called COL11A1, which provides instructions for making a protein called collagen type XI. This protein is essential for the proper development and organization of cartilage and bone.

Another gene that has been linked to geleophysic dysplasia is called COMP. This gene provides instructions for making a protein called cartilage oligomeric matrix protein, which plays a role in the formation and maintenance of healthy cartilage.",0.43956043956043955,0.12546125461254612,0.21245421245421245
What are the symptoms of Vasculitis ?,"The signs and symptoms of vasculitis vary. They depend on the type of vasculitis you have, the organs involved, and the severity of the condition. Some people may have few signs and symptoms. Other people may become very sick. Sometimes the signs and symptoms develop slowly, over months. Other times, the signs and symptoms develop quickly, over days or weeks. Systemic Signs and Symptoms Systemic signs and symptoms are those that affect you in a general or overall way. Common systemic signs and symptoms of vasculitis are: Fever Loss of appetite Weight loss Fatigue (tiredness) General aches and pains Organ- or Body System-Specific Signs and Symptoms Vasculitis can affect specific organs and body systems, causing a range of signs and symptoms. Skin If vasculitis affects your skin, you may notice skin changes. For example, you may have purple or red spots or bumps, clusters of small dots, splotches, bruises, or hives. Your skin also may itch. Joints If vasculitis affects your joints, you may ache or develop arthritis in one or more joints. Lungs If vasculitis affects your lungs, you may feel short of breath. You may even cough up blood. The results from a chest x ray may show signs that suggest pneumonia, even though that may not be what you have. Gastrointestinal Tract If vasculitis affects your gastrointestinal tract, you may get ulcers (sores) in your mouth or have stomach pain. In severe cases, blood flow to the intestines can be blocked. This can cause the wall of the intestines to weaken and possibly rupture (burst). A rupture can lead to serious problems or even death. Sinuses, Nose, Throat, and Ears If vasculitis affects your sinuses, nose, throat, and ears, you may have sinus or chronic (ongoing) middle ear infections. Other symptoms include ulcers in the nose and, in some cases, hearing loss. Eyes If vasculitis affects your eyes, you may develop red, itchy, burning eyes. Your eyes also may become sensitive to light, and your vision may blur. Rarely, certain types of vasculitis may cause blindness. Brain If vasculitis affects your brain, symptoms may include headaches, problems thinking clearly, changes in mental function, or stroke-like symptoms, such as muscle weakness and paralysis (an inability to move). Nerves If vasculitis affects your nerves, you may have numbness, tingling, and weakness in various parts of your body. You also may have a loss of feeling or strength in your hands and feet and shooting pains in your arms and legs.","Vasculitis is an inflammatory condition that affects the blood vessels. Symptoms can vary depending on the size and location of the affected blood vessels. Here are some common symptoms:

1. Fever: A persistent fever is a common symptom of vasculitis.
2. Pain and swelling: Inflamed blood vessels can cause pain and swelling, especially in the affected limbs.
3. Skin changes: Rashes, ulcers, or discoloration of the skin can occur due to vasculitis.
4. Joint pain and inflammation: Inflammation of the blood vessels can lead to joint pain and inflammation.
5. Kidney",0.2261904761904762,0.04780876494023904,0.14682539682539683
What are the treatments for 3-methylglutaconyl-CoA hydratase deficiency ?,These resources address the diagnosis or management of 3-methylglutaconyl-CoA hydratase deficiency: - Baby's First Test - Genetic Testing Registry: 3-Methylglutaconic aciduria - MedlinePlus Encyclopedia: Metabolic Acidosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care.,"3-Methylglutaconyl-CoA hydratase deficiency is a rare genetic condition that affects how the body processes certain fats called branched-chain fatty acids. This condition can cause various health problems, including developmental delays, muscle weakness, and intellectual disability. There is currently no cure for 3-methylglutaconyl-CoA hydratase deficiency, but treatments can help manage the symptoms and improve quality of life.

The primary treatment for 3-methylglutaconyl-CoA hydratase deficiency is a low-fat, low-branched-chain amino acid diet",0.2406015037593985,0.07633587786259544,0.15037593984962405
What is (are) Glycogen storage disease type 1B ?,"Glycogen storage disease type 1B (GSD1B) is an inherited condition in which the body is unable to break down a complex sugar called glycogen. As a result, glycogen accumulates in cells throughout the body. In GSD1B, specifically, glycogen and fats build up within the liver and kidneys which can cause these organs to be enlarged and not function properly. Signs and symptoms of the condition generally develop at age 3 to 4 months and may include hypoglycemia, seizures, lactic acidosis, hyperuricemia (high levels of a waste product called uric acid in the body), and hyperlipidemia. Affected people may also have short stature; thin arms and legs; a protruding abdomen; neutropenia (which may lead to frequent infections); inflammatory bowel disease and oral health problems. GSD1B is caused by changes (mutations) in the SLC37A4 gene and is inherited in an autosomal recessive manner. Although there is currently no cure for the condition, symptoms can often be managed with a special diet in combination with certain medications.","Glycogen storage disease type 1B, also known as Glucose-6-Phosphatase Deficiency, is a genetic condition that affects how your body stores and uses sugar, or glucose, for energy. In a healthy body, an enzyme called glucose-6-phosphatase helps convert stored glucose in the liver and muscles into a form that can be released into the bloodstream for use by the body's cells when needed. However, in individuals with Glycogen Storage Disease type 1B, this enzyme is either missing or not working properly, causing glucose to build up in the liver and muscle cells and preventing it from being",0.3622641509433962,0.07604562737642585,0.2037735849056604
What are the symptoms of Platelet storage pool deficiency ?,"What are the signs and symptoms of Platelet storage pool deficiency? The signs and symptoms of platelet storage pool deficiency vary but may include: Frequent nosebleeds Abnormally heavy or prolonged menstruation Easy bruising Recurrent anemia Abnormal bleeding after surgery, dental work or childbirth The Human Phenotype Ontology provides the following list of signs and symptoms for Platelet storage pool deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal bleeding - Acute leukemia - Autosomal dominant inheritance - Decreased mean platelet volume - Myelodysplasia - Prolonged bleeding time - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Platelet storage pool deficiency, also known as Type 3B von Willebrand disease, is a rare blood disorder. Platelets are small cells in your blood that help your body form clots to stop bleeding. In Platelet storage pool deficiency, the platelets themselves are normal, but the amount or quality of the chemicals they need to function properly is reduced.

Symptoms of Platelet storage pool deficiency can vary widely from person to person. Some people may not experience any symptoms at all, while others may have:

1. Easy bruising: Bruises that form more easily than expected, or that last longer than usual.
2. Bleeding that is harder to",0.27821522309711283,0.07387862796833773,0.12598425196850394
